,Dim1,Dim2
0.143653753,-1.1300471,6.2462616
0.14702231,-0.81164885,6.054357
0.184291216,-1.4112488,6.2299576
0.298213639,-1.5194738,6.3274326
0.096961162,-0.8010024,6.0443263
0.320504299,-1.6036512,6.4048433
0.158139412,-1.5857671,6.3466697
0.392745748,-1.7125049,6.441982
0.157887486,4.704101,-0.0038321284
0.131030036,4.1561522,2.0839255
0.158711195,4.775017,-0.075053394
0.145634155,5.650948,0.5507055
0.223806414,2.8514712,4.858218
0.168680259,5.382266,0.34357056
0.233277015,6.680726,-0.071760856
0.200369692,6.4734583,0.12757428
0.316768273,-12.38307,-8.376023
0.194066268,5.769326,0.949469
0.358274708,-12.303892,-8.196927
0.212173856,6.2837586,0.25731432
0.185236477,5.669666,0.41747972
0.399751064,-12.296024,-8.178452
0.162430293,5.5008674,1.311351
0.166772091,4.678845,-0.42353505
0.133241192,4.1730185,2.006134
0.128805821,4.570669,-0.57418567
0.164404099,4.1024914,-0.8494625
0.156881953,4.1502466,-0.9145105
0.177804673,0.24082592,5.545556
0.184278554,-0.9773554,6.1884885
0.144011251,3.75478,1.9843603
0.097187308,5.7571645,-1.1700544
0.201215025,-1.2887813,6.0166917
0.282034562,-1.6509618,6.2967124
0.116335271,-0.32498926,5.775224
0.261063168,-1.9667623,6.573093
0.187286673,1.7140431,4.531922
0.211560892,-12.596601,-8.8507
0.236678421,7.728871,-1.4436663
0.397721938,-1.7768192,4.7893662
0.212903206,-13.032682,-9.873883
0.33614184,7.5125813,-0.7630467
0.19280862,7.5330195,-1.0374727
0.241583785,-13.084869,-10.02153
0.16408537,7.2594137,-0.91122514
0.229413461,7.736695,-1.0826072
0.195689417,8.03192,-0.83972377
0.212969093,7.6353703,-1.0674648
0.212621006,2.2795506,4.29055
0.195768403,-13.022385,-9.8661375
0.226868376,7.6675153,-1.3853419
0.199164589,2.8254755,3.7573516
0.186063878,-13.371656,-10.725344
0.23828966,3.5748532,-1.0065949
0.26669631,2.7223558,4.492819
0.20639537,-13.453526,-10.935603
0.186635884,7.5881405,-1.449694
0.264309776,2.6253843,4.9494143
0.193379751,7.755408,-1.5749301
0.194610012,7.845939,-1.710316
0.199299308,7.7367754,-1.6136323
0.351741748,2.7828605,4.8703237
0.226552244,7.752087,-1.6026525
0.180184249,7.7052107,-1.4248229
0.167803979,7.683756,-1.4233654
0.271912999,1.8036814,4.981442
0.182379021,-13.121491,-10.106744
0.173033403,3.7772703,-1.2885768
0.386920248,-1.9597027,5.4034405
0.215584057,-13.105974,-10.077077
0.302870431,-1.7857522,6.208778
0.197235849,-12.297639,-8.155957
0.198128102,-12.642638,-8.960328
0.194938957,7.3231144,-1.0616881
0.509628974,2.121189,4.8067346
0.192594743,-12.747427,-9.18936
0.159001032,5.0722857,-1.0388005
0.20822705,5.901909,0.28349295
0.142549187,5.344334,0.06847892
0.099284411,4.0359898,1.9514295
0.221418993,-13.036199,-9.908495
0.111582155,3.829589,2.281328
0.151391058,-13.151338,-10.178903
0.269404504,0.720583,4.642566
0.195134744,-13.210794,-10.322397
0.085129617,3.3915937,2.8480127
0.369122696,2.7279913,4.8928704
0.114557532,3.2496204,2.9391227
0.188892967,-13.174611,-10.234811
0.11550157,2.7779489,3.2085967
0.125893062,0.9030386,4.8910775
0.140476272,0.704288,5.1008215
0.146857671,0.32676652,5.4541416
0.1782417,0.034270834,5.568556
0.153963023,0.29757196,5.490437
0.239530442,-12.989715,-9.813192
0.162186184,-0.040096037,5.5796275
0.186111035,5.268356,-1.2741861
0.16347394,4.787307,-0.2684653
0.149539803,4.7516785,0.8057432
0.168466302,4.740396,0.78271526
0.149125122,4.7515855,0.6791465
0.115850233,3.9783068,2.1410933
0.182924284,-13.229246,-10.377098
0.144771557,3.5937762,2.4698548
0.102271632,3.6761448,2.4547164
0.186048495,-13.310429,-10.575054
0.104006343,3.999649,2.135527
0.181848989,0.5470337,5.1458545
0.18494763,0.54277503,5.167459
0.486272158,-12.223799,-8.03383
0.11923056,0.9234944,5.1090417
0.165901737,-13.004492,-9.835848
0.116266715,1.0593399,5.0645547
0.130902492,-13.140764,-10.159256
0.186098549,1.6633623,4.298601
0.17062231,2.7417288,3.6908221
0.164402008,4.4055495,-0.5411776
0.144632029,4.368118,-0.40721306
0.126390516,3.1874516,3.0184402
0.166343866,-13.161897,-10.213569
0.172504776,4.0175877,-0.8242818
0.152995651,1.8508222,4.2217956
0.190885426,-13.334797,-10.630654
0.205596004,3.3694105,-0.9774951
0.845473817,-12.38832,-8.412919
0.840591907,-12.329779,-8.271129
0.879842647,-12.322227,-8.265032
0.931345898,-12.35144,-8.328855
0.31322054,-12.611811,-8.935633
0.931546878,-12.25133,-8.119918
0.306450712,-2.7778091,5.759746
0.36630683,-12.103612,-7.7851076
0.280026637,-1.6396893,6.2614837
0.304664175,3.2248487,-1.9153154
0.168685964,2.4747531,4.192569
0.186912395,-13.013604,-9.863835
0.279590026,3.532644,-1.4833561
0.295473586,3.615696,-1.2702368
